CompanyId,NameEN,NameHE,SubId,SeedReportId
753,LODZIA,לודזיה,753012,1515800
1050,LUDAN,לודן,1081439,1705800
2491,LUDAN-TECH,לודן-טק,1226992,1705800
666,LUZON CREDIT,לוזון אשראי,666016,1706500
473,LUZON GROUP,לוזון קבוצה,473017,1561000
2429,LUZON RONSON,לוזון רונסון,1202597,
1787,M.L.R.N,מלרן פרוייקטים,1170950,1703000
2398,M.W. INVES,מ.ו. השקעות,1204122,1536800
156,MALAM TEAM,מלם תים,156018,1687000
731,MALAM-TEAM HOLD,מלם-תים אחזקות,731018,1585000
238,MAMAN,ממן,2380053,
1484,MASLAVI,מצלאוי,1106749,1509250
1864,MASSIVIT,מאסיבית,1172972,1526200
1902,MATRICELF,מטריסלף,1176791,1518000
445,MATRIX,מטריקס,445015,1610000
1763,MAX IT,מקס איט,1220466,1246300
1815,MAX STOCK,מקס סטוק,1168558,1491800
1212,MAYTRONICS,מיטרוניקס,1091065,1450750
1632,MDG,אמ.די.ג'י.,1209170,1431250
1614,MEDI TOWER,מגדלי ים תיכון,1131523,1573000
1433,MEDIPOWER,מדיפאואר,1139955,1381400
1983,MEDIPRESS HEALT,מדיפרס בריאות,1182898,1484400
1450,MEGA OR,מגה אור,1104488,1647200
2458,MEGIDO,מגידו,1216605,1707800
1668,MEGUREIT,מגוריט,1139195,1495750
686,MEHADRIN,מהדרין,686014,1437250
1064,MEITAV INVEST,מיטב בית השקעות,1081843,1465000
2428,MEITAV TRADE,מיטב טרייד,1203181,1628400
1150,MEKOROT,מקורות,1124346,1673400
323,MELISRON,מליסרון,323014,1617000
1914,MENARA VENTURES,מנרה ונצ'רס,1178474,
1247,MENDELSON INFR,מנדלסון תשתיות,1129444,
1828,MENIF-FINANCIAL,מניף-פיננסים,1170893,
1679,MENIVIM REIT,מניבים ריט,1140573,1613500
566,MENORA MIV HOLD,מנורה מב החזקות,566018,1646500
1431,MENORA MIV HON,מנורה מב הון,1160241,1398200
338,MER,מר,338012,1725800
2465,MERAV DEPOSITS,מרב פקדונות,1221902,1696750
1266,MERCANTILE HANP,מרכנתיל הנפקות,1171305,1725800
257,MERCHAVIA HOLD,מרחביה אחזקות,257014,1689600
1803,MESHEK ENERGY,משק אנרגיה,1166974,1669750
494,MIA DYNAMICS,מיה דיינמיקס,494013,1357000
1944,MICHLOL FINANCE,מכלול מימון,1179753,1696000
2511,MICHPAL,מיכפל,1229335,
1597,MIGDAL INS FUND,מגדל ביטוח הון,1182955,1496600
1041,MIGDAL INSUR.,מגדל ביטוח,1081165,1546750
1806,MILLENNIUM FDTC,מילניום פוד-טק,1167501,
155,MINRAV,מנרב,1217355,1540200
1502,MIRLAND-M,מירלנד-ש,1108638,1709000
1467,MISHORIM,מישורים,1105196,1541500
226,MIVNE,מבנה,226019,1439600
127,MIVTACH SHAMIR,מבטח שמיר,127019,1596250
695,MIZRAHI TEFAHOT,מזרחי טפחות,695437,1669400
231,MIZRAHI TF ISSU,מזרחי טפחות הנפ,1191675,1596400
345,MODIIN,מודיעין יהש,345017,1596200
1692,MORE INVEST.,מור השקעות,1141464,1528000
